,Energia Down,Energia Up,Day-ahead Forecast Wind,DA Forecast PV,DA Forecast Consumo,DAToda a Geração,DA Tie Lines Balance,DA Traded Wind,DA Traded PV
4189,1.7,293.7,3840.0,2577.8,30138.0,28643.4,485.3,4022.1,2544.8
4190,1.1,278.7,3959.0,2224.0,30158.0,28435.0,515.8,4116.8,2131.1
4191,180.9,52.6,4092.0,1744.1,29748.0,28062.9,645.6,4069.6,1592.4
4192,0.9,328.7,4170.0,1098.4,29663.0,27562.5,1051.3,3947.8,1026.4
4193,420.3,4.0,4148.0,448.2,29865.0,27977.0,952.7,3761.0,434.1
4194,361.9,1.3,3600.0,80.2,29989.0,28043.8,1153.7,3467.7,112.4
4195,501.6,1.3,2881.0,0.4,29493.0,27506.1,995.0,3190.5,14.3
4196,499.7,16.6,2759.0,0.0,27308.0,25094.9,1003.0,3061.1,14.2
4197,378.4,39.0,2666.0,0.0,25821.0,23780.2,1769.2,3104.6,7.4
4198,226.5,39.7,2297.0,0.0,24560.0,22794.4,1377.2,2799.4,7.4
4199,32.2,362.0,1645.0,0.0,23618.0,21838.2,1300.7,2647.7,7.4
4200,175.4,30.9,1327.0,0.0,23218.0,21256.8,1278.3,2389.8,7.4
4201,24.7,378.9,1148.0,0.0,23074.0,21039.4,1358.6,2171.3,7.4
4202,15.9,278.1,1103.0,0.0,23493.0,21458.1,1354.9,1961.5,7.4
4203,32.8,381.1,1070.0,12.2,25089.0,23249.6,1170.6,1611.7,66.4
4204,117.7,52.7,958.0,260.7,27430.0,25072.4,1809.6,1064.7,301.4
4205,46.8,139.3,823.0,914.3,29797.0,27188.3,2295.0,932.6,931.8
4206,376.3,14.2,624.0,1614.1,31402.0,29213.4,1854.3,808.5,1707.4
4207,218.1,35.0,598.0,2266.8,32563.0,30511.6,1486.9,877.6,2376.6
4208,158.9,36.9,799.0,2744.5,33131.0,31316.8,1133.0,1167.1,2862.1
4209,126.0,60.6,1177.0,2990.9,33912.0,32028.1,976.4,1710.4,3156.4
4210,48.8,189.9,1777.0,3221.2,34252.0,32253.2,972.1,2336.4,3312.9
4211,25.3,158.1,2450.0,3311.3,33595.0,31823.0,574.0,3059.4,3302.7
4212,217.8,24.7,2895.0,3204.1,33068.0,31542.0,147.1,3632.4,3189.2
4213,140.3,74.0,3338.0,2986.7,32975.0,31371.6,139.8,4183.6,2918.3
4214,51.8,120.1,3872.0,2617.6,33035.0,31259.4,138.5,4499.2,2490.9
4215,158.3,46.5,4342.0,2043.7,32504.0,30756.7,263.7,4756.0,1894.3
4216,57.2,71.8,4678.0,1293.4,32089.0,30376.4,460.8,4952.9,1256.0
4217,238.0,6.8,5042.0,503.7,31806.0,29953.3,788.4,5035.3,555.6
4218,389.0,2.7,5056.0,61.6,31289.0,29394.5,1402.7,4979.3,116.1
4219,282.8,3.2,5445.0,0.1,30391.0,28734.1,1153.5,5035.0,14.4
4220,243.1,4.3,5721.0,0.0,28129.0,26557.7,742.8,5169.2,14.2
4221,106.4,78.9,5634.0,0.0,27325.0,25152.4,1150.6,5663.4,7.4
4222,21.1,180.6,5622.0,0.0,25993.0,24608.3,408.7,5559.9,7.4
4223,16.0,674.9,5485.0,0.0,24949.0,23990.4,49.4,5367.2,7.4
4224,11.1,436.0,5192.0,0.0,24498.0,23362.0,146.2,5029.8,7.4
4225,15.1,89.4,4907.0,0.0,24362.0,23056.2,276.8,4745.8,7.4
4226,4.5,170.1,5227.0,0.0,24717.0,23034.5,495.6,4485.7,7.4
4227,189.6,6.1,5565.0,11.8,26279.0,24312.1,815.9,4368.4,25.9
4228,816.5,0.4,5238.0,257.6,28835.0,26086.2,1526.4,3731.1,262.0
4229,681.4,3.4,4518.0,909.8,30903.0,28161.1,1811.6,3432.8,938.4
4230,556.3,2.2,4205.0,1646.2,32469.0,30125.9,1487.3,3352.7,1750.5
4231,13.0,129.4,4268.0,2317.6,33745.0,31414.2,1247.9,3606.6,2411.7
4232,34.8,599.0,4657.0,2779.1,34396.0,32552.3,798.6,4100.5,2908.0
4233,294.9,16.1,5258.0,3011.9,35289.0,33482.1,689.3,4733.6,3211.8
4234,213.2,14.8,6015.0,3287.6,35637.0,33694.1,769.2,5487.1,3370.8
4235,519.4,10.4,6561.0,3402.0,34984.0,33220.3,472.0,6259.3,3382.6
